"name","cardholder_id","card","total_spent"
"Mark Lewis",23,"4741042733274",566.2801
"Matthew Gutierrez",10,"4962915017023706562",747.1901
"Megan Price",12,"5297187379298983",676.8699
"Kevin Spencer",20,"3535651398328201",704.79
"Megan Price",12,"501879657465",14441.719
"Sean Taylor",7,"3516952396080247",10686.918
"Gary Jacobs",14,"5175947111814778",649.82996
"Brandon Pineda",11,"4027907156459098",661.79
"Matthew Gutierrez",10,"213193946980303",585.7199
"Stephanie Dalton",24,"30142966699187",7272.6196
"Laurie Gibbs",9,"30181963913340",10391.271
"Stephanie Dalton",24,"3582198969197591",496.21997
"Mark Lewis",23,"4188164051171486",546.72
"Malik Carlson",18,"4498002758300",590.97003
"Dana Washington",21,"4279104135293225293",638.0801
"Megan Price",12,"376027549341849",644.9801
"Peter Mckay",19,"4743204091443101526",695.0602
"Michael Floyd",8,"4834483169177062",578.53015
"Brandon Pineda",11,"4644008655884311378",564.84
"Kyle Tucker",15,"4723783028106084756",719.17004
"Sara Cooper",5,"4276466390111",519.72003
"Brandon Pineda",11,"180098539019105",611.74
"Peter Mckay",19,"5361779664174555",576.6401
"Michael Floyd",8,"30063281385429",419.49994
"Peter Mckay",19,"3561072557118696",557.05
"Danielle Green",4,"584226564303",876.9597
"John Martin",13,"5135837688671496",716.3101
"Austin Johnson",22,"501809222273",588.65015
"Crystal Clark",16,"503842928916",812.49005
"Matthew Gutierrez",10,"4165305432349489280",593.1699
"Stephanie Dalton",24,"4681896441519",499.83002
"Kevin Spencer",20,"4586962917519654607",669.4898
"Sean Taylor",7,"4539990688484983",742.44006
"Malik Carlson",18,"344119623920892",11509.641
"John Martin",13,"4711773125020499",761.5
"Michael Carroll",17,"6011987562414062",613.85
"Mark Lewis",23,"4150721559116778",523.9199
"Beth Hernandez",6,"3581345943543942",14089.77
"Shane Shaffer",2,"675911140852",419.79996
"Nancy Contreras",25,"372414832802279",533.37994
"Robert Johnson",1,"3517111172421930",638.0101
"Crystal Clark",16,"5500708021555307",640.39996
"Crystal Clark",16,"5570600642865857",14368.562
"Kyle Tucker",15,"6500236164848279",601.16
"Kevin Spencer",20,"4506405265172173",508.99997
"Shane Shaffer",2,"4866761290278198714",529.8001
"Elizabeth Sawyer",3,"30078299053512",8071.9897
"Robert Johnson",1,"4761049645711555811",14081.58
"Beth Hernandez",6,"4159836738768855913",670.23004
"Sara Cooper",5,"4268491956169254",720.1999
"Danielle Green",4,"4263694062533017",493.79004
"John Martin",13,"3561954487988605",626.76
"Nancy Contreras",25,"4319653513507",11315.052
