"card","tx_less_than_2"
"4027907156459098",4
"501809222273",3
"5500708021555307",5
"3561072557118696",3
"30078299053512",1
"3535651398328201",3
"4962915017023706562",4
"3517111172421930",5
"4586962917519654607",4
"5175947111814778",4
"675911140852",3
"501879657465",6
"4741042733274",6
"503842928916",5
"4761049645711555811",1
"4268491956169254",4
"4159836738768855913",1
"6500236164848279",2
"4188164051171486",2
"30142966699187",1
"4498002758300",2
"3581345943543942",1
"376027549341849",7
"4743204091443101526",5
"213193946980303",2
"4276466390111",3
"344119623920892",4
"180098539019105",5
"5135837688671496",3
"3561954487988605",6
"4644008655884311378",2
"4279104135293225293",3
"3582198969197591",8
"372414832802279",4
"584226564303",5
"3516952396080247",6
"6011987562414062",1
"30181963913340",1
"30063281385429",4
"4723783028106084756",3
"4539990688484983",3
"4150721559116778",2
"4319653513507",4
"4263694062533017",3
"4711773125020499",1
"4866761290278198714",4
"4681896441519",5
"4506405265172173",6
"4834483169177062",3
"5361779664174555",1
"4165305432349489280",4
"5297187379298983",3
