"date","card","tx_less_than_2"
"2018-02-28 04:36:28","3535651398328201",1
"2018-05-28 11:32:33","4268491956169254",1
"2018-09-12 07:09:31","501879657465",1
"2018-01-20 13:44:37","501879657465",1
"2018-07-06 10:25:47","4962915017023706562",1
"2018-02-13 01:08:02","5175947111814778",1
"2018-07-08 02:51:05","584226564303",1
"2018-05-06 10:34:04","4159836738768855913",1
"2018-10-07 14:30:10","4539990688484983",1
"2018-01-12 18:04:04","4681896441519",1
"2018-03-19 05:53:26","344119623920892",1
"2018-12-12 04:29:25","213193946980303",1
"2018-12-01 21:08:36","5175947111814778",1
"2018-04-29 08:15:40","3516952396080247",1
"2018-10-23 20:11:25","344119623920892",1
"2018-05-07 20:38:11","5135837688671496",1
"2018-05-24 20:39:06","675911140852",1
"2018-09-21 01:57:52","675911140852",1
"2018-08-17 19:58:32","30142966699187",1
"2018-05-11 06:13:46","344119623920892",1
"2018-01-06 02:16:41","4866761290278198714",1
"2018-07-24 06:24:21","4743204091443101526",1
"2018-01-17 16:57:27","4268491956169254",1
"2018-12-10 04:30:42","6500236164848279",1
"2018-06-14 11:31:49","3561954487988605",1
"2018-11-02 12:14:33","3561072557118696",1
"2018-03-27 07:04:02","4268491956169254",1
"2018-03-04 12:58:48","584226564303",1
"2018-03-02 06:42:40","501879657465",1
"2018-05-20 03:26:55","3516952396080247",1
"2018-05-22 12:15:52","4962915017023706562",1
"2018-03-29 00:33:24","584226564303",1
"2018-02-18 10:09:01","4962915017023706562",1
"2018-10-14 23:09:15","376027549341849",1
"2018-03-20 17:15:15","4866761290278198714",1
"2018-04-06 13:03:31","3561954487988605",1
"2018-01-11 10:51:08","30063281385429",1
"2018-08-25 00:07:04","503842928916",1
"2018-07-24 16:40:31","4276466390111",1
"2018-07-24 10:05:43","5500708021555307",1
"2018-03-31 23:13:53","344119623920892",1
"2018-09-24 08:19:07","4743204091443101526",1
"2018-07-17 22:11:50","4506405265172173",1
"2018-02-28 02:06:08","372414832802279",1
"2018-04-06 13:45:51","584226564303",1
"2018-05-14 07:06:07","501879657465",1
"2018-10-25 10:50:01","4263694062533017",1
"2018-08-18 13:30:26","180098539019105",1
"2018-08-15 10:04:32","4644008655884311378",1
"2018-03-30 17:36:58","3517111172421930",1
"2018-01-22 11:52:29","180098539019105",1
"2018-10-03 19:22:46","5175947111814778",1
"2018-01-27 14:00:31","6500236164848279",1
"2018-09-02 14:39:31","4743204091443101526",1
"2018-07-23 15:52:25","3582198969197591",1
"2018-11-18 14:26:48","4165305432349489280",1
"2018-04-27 17:08:12","584226564303",1
"2018-12-14 20:33:40","376027549341849",1
"2018-07-21 23:12:46","3535651398328201",1
"2018-01-17 15:02:38","4498002758300",1
"2018-07-01 20:25:48","4027907156459098",1
"2018-01-08 21:44:34","4681896441519",1
"2018-07-11 21:03:30","4319653513507",1
"2018-10-06 20:23:45","30142966699187",1
"2018-06-01 10:25:22","4159836738768855913",1
"2018-03-18 23:29:47","4711773125020499",1
"2018-12-18 07:36:22","4188164051171486",1
"2018-09-08 15:26:19","4962915017023706562",1
"2018-05-12 16:10:59","584226564303",1
"2018-05-28 14:46:28","213193946980303",1
"2018-05-07 04:51:43","4539990688484983",1
"2018-10-19 01:16:05","376027549341849",1
"2018-04-15 09:50:16","30142966699187",1
"2018-04-27 16:09:47","5297187379298983",1
"2018-03-02 19:34:07","4711773125020499",1
"2018-12-10 11:26:49","4586962917519654607",1
"2018-03-08 07:46:00","5175947111814778",1
"2018-10-18 15:32:03","4962915017023706562",1
"2018-04-06 17:48:38","4188164051171486",1
"2018-05-30 08:27:41","4027907156459098",1
"2018-03-29 14:43:30","4276466390111",1
"2018-08-11 02:47:15","5570600642865857",1
"2018-10-04 02:40:21","501879657465",1
"2018-11-26 06:54:00","3516952396080247",1
"2018-06-23 19:20:30","4276466390111",1
"2018-08-26 20:31:14","4644008655884311378",1
"2018-02-01 21:52:43","4743204091443101526",1
"2018-12-30 10:36:22","6500236164848279",1
"2018-05-14 23:34:39","4498002758300",1
"2018-05-26 06:13:53","5135837688671496",1
"2018-02-10 13:26:43","4276466390111",1
"2018-01-31 13:17:35","4741042733274",1
"2018-11-21 04:29:57","4834483169177062",1
"2018-06-11 15:02:40","4586962917519654607",1
"2018-10-22 13:46:10","4159836738768855913",1
"2018-10-02 18:48:15","4866761290278198714",1
"2018-09-25 23:28:54","501809222273",1
"2018-06-18 19:37:57","675911140852",1
"2018-09-26 21:48:24","4319653513507",1
"2018-09-11 17:31:43","6500236164848279",1
"2018-08-21 18:27:46","4834483169177062",1
"2018-05-30 23:18:19","4741042733274",1
"2018-10-26 16:56:14","4681896441519",1
"2018-06-04 17:48:07","584226564303",1
"2018-01-02 02:06:21","4319653513507",1
"2018-02-09 00:54:12","4586962917519654607",1
"2018-07-08 04:14:18","4723783028106084756",1
"2018-06-14 16:57:50","376027549341849",1
"2018-12-21 01:16:45","4263694062533017",1
